Section Name,Route Distance,Distance,Completed?,Notes
"",357,86.83856,FALSE,""
"",358,87.83856,FALSE,""
"",359,88.83856,FALSE,""
"",360,89.83856,FALSE,""
"",361,90.83856,FALSE,""
"",362,91.83856,FALSE,""
"",363,92.83856,FALSE,""
"",364,93.83856,FALSE,""
"",365,94.83856,FALSE,""
"",366,95.83856,FALSE,""
"",367,96.83856,FALSE,""
"",368,97.83856,FALSE,""
"",369,98.83856,FALSE,""
"",370,99.83856,FALSE,""
"",371,100.83856,FALSE,""
"",372,101.83856,FALSE,""
"",373,102.83856,FALSE,""
"",374,103.83856,FALSE,""
"",375,104.83856,FALSE,""
"",376,105.83856,FALSE,""
"",377,106.83856,FALSE,""
"",378,107.83856,FALSE,""
"",379,108.83856,FALSE,""
"",380,109.83856,FALSE,""
"",381,110.83856,FALSE,""
"",382,111.83856,FALSE,""
"",383,112.83856,FALSE,""
"",384,113.83856,FALSE,""
"",385,114.83856,FALSE,""
"",386,115.83856,FALSE,""
"",387,116.83856,FALSE,""
"",388,117.83856,FALSE,""
"",389,118.83856,FALSE,""
"",390,119.83856,FALSE,""
Marsden Pt beach  to Cove/Cullen Rd ,390.93903,34 km,FALSE,""
"",391,0.06097,FALSE,""
"",392,1.06097,FALSE,""
"",393,2.06097,FALSE,""
"",394,3.06097,FALSE,""
"",395,4.06097,FALSE,""
"",396,5.06097,FALSE,""
"",397,6.06097,FALSE,""
"",398,7.06097,FALSE,""
"",399,8.06097,FALSE,""
"",400,9.06097,FALSE,""
"",401,10.06097,FALSE,""
"",402,11.06097,FALSE,""
"",403,12.06097,FALSE,""
"",404,13.06097,FALSE,""
"",405,14.06097,FALSE,""
"",406,15.06097,FALSE,""
"",407,16.06097,FALSE,""
"",408,17.06097,FALSE,""
"",409,18.06097,FALSE,""
"",410,19.06097,FALSE,""
"",411,20.06097,FALSE,""
"",412,21.06097,FALSE,""
"",413,22.06097,FALSE,""
"",414,23.06097,FALSE,""
"",415,24.06097,FALSE,""
"",416,25.06097,FALSE,""
"",417,26.06097,FALSE,""
"",418,27.06097,FALSE,""
